No.,Name,Price,24H-Change,24H-Volume,Market-cap
0,Bitcoin,"$22,494.79",-0.71%,$433.31 B,$20.65 B
1,Ethereum,"$1,578.43",-0.81%,$191.07 B,$6.31 B
2,Tether,$1.02,+0.01%,$71.6 B,$29 B
3,BNB,$291.55,+0.13%,$45.53 B,$357.18 M
4,USD Coin,$1.00,-0.08%,$43.69 B,$3.27 B
5,XRP,$0.3848,+2.49%,$19.24 B,$1.37 B
6,Cardano,$0.3323,-1.65%,$11.37 B,$251.57 M
7,Polygon,$1.16,+0.16%,$10 B,$445.95 M
8,Dogecoin,$0.0752,-0.84%,$9.81 B,$292.15 M
9,Binance USD,$1.01,-0.20%,$8.43 B,$4.95 B
10,Solana,$20.65,-2.76%,$7.8 B,$373.4 M
11,Polkadot,$5.94,-2.08%,$6.82 B,$220.55 M
12,Litecoin,$87.47,-2.50%,$6.25 B,$577.58 M
13,TRON,$0.06645,-1.48%,$6.07 B,$216.7 M
14,Shiba Inu,$0.00001102,-3.06%,$5.93 B,$181.8 M
15,Avalanche,$16.43,-1.98%,$5.26 B,$161.49 M
16,Dai,$1.01,-0.05%,$5.18 B,$151.72 M
17,Uniswap,$6.54,+0.08%,$4.89 B,$91.29 M
18,Chainlink,$6.86,-2.56%,$3.5 B,$259.04 M
19,Cosmos,$11.97,-3.60%,$3.36 B,$98.16 M
20,UNUS SED LEO,$3.38,+0.74%,$3.23 B,"$785,057"
21,Toncoin,$2.30,-3.99%,$2.81 B,$41.39 M
22,Monero,$151.57,-0.27%,$2.77 B,$87.19 M
23,Ethereum Classic,$19.63,-1.29%,$2.71 B,$103.29 M
24,OKB,$44.46,-8.36%,$2.67 B,$51.15 M
25,Bitcoin Cash,$124.93,-0.96%,$2.38 B,$157.84 M
26,Stellar,$0.0836,-0.51%,$2.18 B,$51.07 M
27,Lido DAO Token,$2.64,-0.32%,$2.21 B,$152.91 M
28,Filecoin,$6.02,-3.78%,$2.14 B,$253.24 M
29,Aptos,$11.29,-2.17%,$1.81 B,$294.25 M
30,Cronos,$0.07188,-2.45%,$1.8 B,$12.19 M
31,Hedera,$0.06471,-0.59%,$1.78 B,$23.8 M
32,NEAR Protocol,$2.02,-3.20%,$1.72 B,$88.45 M
33,VeChain,$0.02449,-3.18%,$1.72 B,$43.75 M
34,ApeCoin,$4.72,-3.56%,$1.72 B,$81.08 M
35,Internet Computer,$5.46,-1.77%,$1.56 B,$39.61 M
36,Algorand,$0.2197,-4.74%,$1.53 B,$70.75 M
37,Quant,$124.93,-1.35%,$1.49 B,$16.81 M
38,TrueUSD,$1.01,+0.04%,$1.27 B,$34.77 M
39,EOS,$1.20,-2.95%,$1.28 B,$166.02 M
40,The Graph,$0.1411,-2.65%,$1.22 B,$50.28 M
41,Fantom,$0.4098,-3.20%,$1.12 B,$174.96 M
42,Decentraland,$0.6041,-3.80%,$1.1 B,$112.72 M
43,BitDAO,$0.5201,-3.11%,$1.09 B,$12.27 M
44,MultiversX,$43.10,-2.40%,$1.07 B,$33.74 M
45,Aave,$77.03,-1.97%,$1.06 B,$56.68 M
46,Flow,$1.04,-3.24%,$1.06 B,$34.76 M
47,Frax,$0.9981,-0.22%,$1.04 B,$9.57 M
48,Tezos,$1.12,-2.77%,$1.03 B,$21.8 M
49,Theta Network,$1.01,-1.92%,$995.59 M,$15.65 M
